PreCalc Pretest,Algebra Pretest,Course Term,Student Year,Calc Grade
71,90,14/FA,SO,W
71,87,14/FA,SO,B+
71,84,14/FA,FR,B-
71,84,14/FA,FR,B
71,97,15/FA,FR,A-
71,90,15/FA,SO,B
71,81,15/FA,FR,C
71,87,15/SP,FR,A
71,87,15/SP,SO,C-
71,94,16/FA,FR,F
71,91,16/FA,FR,B
71,90,16/FA,FR,A-
71,84,16/FA,FR,W
71,97,17/FA,FR,B+
71,87,17/FA,FR,C-
71,77,17/FA,FR,A+
71,71,17/FA,SO,B-
71,81,17/SP,SO,W
71,81,17/SP,SO,A
71,74,17/SP,JR,A-
71,74,17/SP,FR,F
68,77,13/FA,FR,C+
68,90,14/FA,SO,A-
68,87,14/FA,FR,D+
68,87,14/FA,FR,F
68,87,14/FA,FR,C+
68,87,14/FA,FR,C
68,84,14/FA,FR,C
68,84,14/FA,FR,C+
68,90,14/SP,FR,A-
68,87,14/SP,FR,B+
68,77,14/SP,FR,W
68,81,15/FA,FR,B-
68,77,15/FA,FR,D+
68,71,15/FA,FR,B-
68,87,15/SP,FR,D+
68,84,15/SP,FR,A
68,94,16/FA,SO,B-
68,87,16/FA,JR,A-
68,71,16/FA,FR,C
68,74,16/SP,FR,D-
68,87,17/FA,FR,C
68,84,17/FA,FR,C-
68,87,17/SP,FR,B
64,90,13/FA,FR,A-
64,90,14/FA,SO,C-
64,81,14/FA,FR,C-
64,71,14/FA,SO,F
64,77,14/SP,FR,B+
64,100,15/FA,FR,A-
64,90,15/FA,SO,B+
64,87,15/FA,FR,C+
64,74,15/SP,FR,W
64,94,16/FA,FR,D+
64,94,16/FA,FR,B
64,94,16/FA,FR,B
64,90,16/FA,JR,C+
64,90,16/FA,SO,B-
64,84,16/FA,FR,B
64,81,16/FA,FR,D
64,77,16/FA,SO,B
64,77,16/FA,FR,A-
64,74,16/FA,FR,F
64,55,16/FA,SO,W
64,81,16/SP,FR,D+
64,81,16/SP,SO,W
64,74,16/SP,SO,D
64,87,17/FA,FR,B
64,84,17/FA,JR,C+
64,84,17/FA,FR,B
64,81,17/FA,FR,C+
64,74,17/FA,FR,B
64,90,17/SP,FR,C+
64,87,17/SP,FR,B-
64,81,17/SP,FR,C
61,90,13/FA,FR,C
61,84,13/FA,FR,C
61,90,14/FA,FR,C
61,71,14/FA,SO,D-
61,87,14/SP,FR,A-
61,65,14/SP,FR,B+
61,94,15/FA,FR,B
61,81,15/FA,FR,D+
61,81,15/FA,FR,D
61,77,15/FA,SO,D-
61,74,15/FA,JR,B+
61,77,15/SP,SO,B
61,94,16/FA,SR,B
61,77,16/FA,SO,B-
61,87,16/SP,SO,A
61,87,17/FA,FR,W
61,97,17/SP,FR,B-
61,94,17/SP,JR,A-
61,87,17/SP,FR,A-
57,90,13/FA,FR,W
57,87,13/FA,FR,B
57,81,13/FA,FR,A
57,77,13/FA,FR,C
57,71,13/FA,FR,A
57,65,13/FA,FR,C+
57,87,14/FA,SO,B
57,65,14/FA,FR,F
57,71,15/FA,SO,B-
57,81,15/SP,FR,D
57,81,16/FA,FR,C+
57,77,16/FA,FR,D
57,74,16/FA,FR,B+
57,94,16/SP,SO,D+
57,90,17/SP,SO,B-
54,87,13/FA,FR,C
54,87,13/FA,FR,C
54,68,13/FA,FR,B-
54,65,14/FA,FR,B
54,77,14/SP,FR,B
54,84,15/FA,FR,C
54,84,15/SP,FR,C
54,77,16/SP,SO,C+
54,48,16/SP,SO,C-
54,90,17/FA,SO,C-
54,81,17/FA,FR,A-
54,77,17/FA,SO,B
54,77,17/FA,FR,W
54,61,17/FA,SO,C-
54,81,17/SP,FR,B
54,68,17/SP,FR,F
50,61,13/FA,FR,D+
50,87,14/FA,SO,B
50,52,14/SP,SO,A+
50,97,15/FA,FR,W
50,84,15/FA,FR,B-
50,81,15/FA,FR,F
50,81,15/FA,FR,D-
50,74,15/FA,FR,F
50,61,15/FA,SO,W
50,74,15/SP,FR,D
50,45,15/SP,FR,W
50,84,16/FA,SO,C-
50,87,16/SP,JR,B+
50,68,16/SP,SO,B+
50,65,17/FA,SO,B-
50,90,17/SP,JR,A
50,58,17/SP,SO,D
46,87,13/FA,FR,F
46,77,13/FA,FR,C-
46,74,14/FA,SO,C+
46,84,14/SP,FR,C-
46,61,14/SP,FR,W
46,71,15/FA,JR,C-
46,65,15/FA,SO,D-
46,55,15/FA,SO,A-
46,74,15/SP,FR,D-
46,74,16/FA,SR,B-
46,81,16/SP,SO,B-
46,74,17/FA,SR,D
46,71,17/FA,SO,A
46,45,17/FA,SO,W
46,65,17/SP,FR,D+
43,71,13/FA,FR,C+
43,71,13/FA,FR,C+
43,,14/FA,SO,W
43,71,14/SP,FR,C
43,68,14/SP,FR,W
43,84,15/FA,FR,F
43,81,15/FA,SO,F
43,71,15/FA,FR,D
43,84,15/SP,FR,F
43,68,15/SP,FR,W
43,90,16/FA,SO,B-
43,81,16/FA,SO,A-
43,52,16/SP,FR,D
43,74,17/FA,SO,C
39,68,13/FA,FR,C-
39,68,14/SP,FR,F
39,87,15/FA,SO,D+
39,52,17/SP,FR,D+
36,81,14/SP,FR,W
36,55,15/SP,SO,D-
36,77,16/FA,SO,W
36,61,16/SP,SO,W
36,68,17/SP,SR,D+
36,61,17/SP,FR,F
